,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"HLA-C Major histocompatibility complex, class I, C",D13640_at,0.296356287,-0.79789743,-0.165751036,0.733657834,0.898800036,0.291621809,0.534335018,-0.134660321,0.435378477,-1.185748659,-0.202361397,1.52958012,1.362776785,-0.944184888,0.832843751,0.74893144,0.641521314,-0.155947967,0.937452376,0.686711721,0.468936795,0.228691553,-1.187118125,0.761481213,0.794732928,1.219273759,-0.202496527,-0.03375867,-0.255452164,-0.019427278,0.775945764,1.378097279,0.192553476,1.288320079,0.795918912,0.643021295,0.139614999,-1.299149559,0.961612279,1.11374565,0.96256835,1.327763911,-0.070170604,0.692527918,1.674570859,1.567604554,0.98234113,0.502463837,0.567541929,0.878483101,-0.440803903,1.265978715,0.69807263,1.026005817,0.58067802,0.685979881,1.013218059,0.480552001,1.820153285,0.685380732,1.003214311,0.587499119,0.430035401,1.125016191,-0.204211843,-1.018678067,0.478969439,1.744567606,1.038573613,-0.867600384,0.34288157,-0.900780203
97,KIAA0016 gene,D13641_at,-0.394113985,0.939160197,0.187488789,0.059960157,1.077656653,0.304321909,0.324097882,0.312883489,0.756053742,0.751055913,1.041029429,0.946614326,1.045446709,0.519553245,0.837179007,0.308791042,0.839187495,0.159024076,0.867668486,1.549947675,1.570713192,1.512302438,0.555253899,0.84126649,0.317214797,-0.253712684,0.263046563,0.845782404,1.03399849,0.716694181,0.785997557,0.62409615,0.501426046,0.706175151,0.60346757,0.198505067,0.35392713,0.628299945,0.620919915,0.19378544,0.827114165,0.615506221,-0.096114081,0.581387378,0.774477171,0.245365474,0.830884338,0.251966536,0.04831976,0.834012542,0.845544287,-0.525790752,0.887863825,0.771459334,0.311723503,0.335474309,0.534867327,-0.196185137,0.180986239,0.151460241,1.262572935,-0.217832341,-0.014417249,-0.342771284,0.257190233,1.594841157,1.365248323,1.287981118,1.066661723,0.181723503,0.792712627,1.314073972
98,KIAA0018 gene,D13643_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,0.346501427,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
99,KIAA0020 gene,D13645_at,-1.414095164,-1.168686837,-1.423498758,-1.3627031,-0.417669612,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.009469683,-1.102555946,-0.605141169,-1.357386275,-1.510219388,-1.179975696,-1.207606614,0.056507098,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-0.997571088,-0.614856042,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.000159907,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-0.97763444,-1.315359878,-1.041303633,-1.21065485,-1.29024248
100,EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1,D13748_at,1.488613725,2.360873421,2.192136422,2.271283661,2.680547381,2.438606256,2.341258321,2.399754944,2.302367596,2.517487144,2.181295252,2.771414921,2.263736607,2.476802974,2.413129193,2.152306792,2.276003193,2.125361477,2.519892796,2.209935498,0.03432076,2.438442386,2.296534217,2.575658058,2.482946693,2.182498126,2.009997916,2.563911047,2.435220759,2.601855274,2.753867267,1.55628108,2.17920165,2.761625661,2.777680645,2.530608695,2.354147737,2.304536453,1.93657553,2.386037241,2.602769935,2.185042636,2.256483005,2.327787532,2.731598765,2.790263666,2.831392413,2.226526096,1.855105353,2.495773328,2.358469511,2.654326922,2.686557392,2.738586584,2.555886312,2.016893527,2.869704402,2.485157787,1.43006821,2.355148313,2.580130539,1.957800285,2.460182374,1.969738368,2.347817321,2.769559485,2.011469383,2.261390996,2.667108614,2.405598286,2.017735122,1.983384848
101,Peptide YY precursor gene extracted from Human DNA for peptide YY,D13897_rna2_at,0.147593053,-0.251114788,0.225948313,0.021890231,-0.707244801,0.06718345,0.100729276,0.314321444,0.061726214,0.09682039,0.089294654,0.254552597,-0.368489629,-0.067692885,-0.279274033,-0.211881147,-0.87035919,-0.296734548,-0.52649259,-0.513971665,0.403004692,0.314667545,0.130786997,0.085746127,-0.301989358,-0.184827298,-0.426985502,-0.047746886,-0.503033377,-1.108198517,0.311833952,0.155470263,0.10963683,-0.576941732,0.557448988,0.151794992,0.024443606,-0.005892065,0.357457422,1.162290503,-1.145432169,-0.906101162,-0.338072722,-0.288158523,0.503574701,-1.120330201,0.506816852,-0.140002459,0.459463748,-0.018041276,0.323066538,0.295467516,0.183436255,0.341669119,-0.382504872,-0.09207812,0.287983041,0.407225955,-0.296875769,-0.40211224,-0.356682998,0.192285967,-0.95850653,0.054889419,0.670975256,-0.9030532,0.141547622,-0.098640354,-0.927040115,-1.041303633,-0.091607711,-0.422252302
102,Mitochondrial short-chain enoyl-CoA hydratase,D13900_at,1.126239001,1.178371375,1.227733416,1.536031802,1.556155404,1.013995964,1.472503634,0.887537779,1.299016201,1.217929687,0.675520788,1.377960112,1.394508406,0.523058419,1.771471595,1.20996488,1.070941783,1.814288494,1.372588667,1.479438657,1.362937615,1.053430558,0.674945336,1.129955378,0.963809433,1.479165135,1.515632962,1.082177042,0.911271623,1.257675041,1.584475164,1.308492309,0.758996464,1.291366496,1.63527454,1.108448114,0.882957309,0.965732553,1.62611296,1.007647195,1.538205365,1.357065628,0.856446996,1.598875461,1.654285009,1.263527464,1.437174378,1.580160214,1.448350649,0.857295915,1.21184763,1.580543401,0.965371749,1.453318758,1.595751518,1.098288772,1.248977961,0.88755626,1.585584127,1.080222774,1.56394097,1.135501071,1.531700961,1.393040896,1.341392572,1.528673645,0.897908875,1.440882412,1.448225147,1.479111022,0.950845442,1.255182479
103,Rab GDI mRNA,D13988_at,1.212705537,0.544054773,1.207039788,1.710362951,1.896527254,1.025575772,1.254181268,0.554932459,1.282132572,0.624336334,1.193166878,0.894871682,1.118717951,0.725176012,1.190359994,0.718863268,0.511496749,1.234427643,1.036927657,1.087037461,-0.388622415,1.072860786,0.834334557,1.425944813,0.537117947,-0.068458624,0.805032436,1.079890748,0.739766856,1.167277601,0.937607571,0.387095491,0.661509032,0.946993025,1.366046964,0.892491025,0.435004507,0.592042183,1.226970696,1.160034131,1.332798894,1.001382343,1.274837238,1.669112511,1.473828628,1.530152677,0.957849687,0.764410002,1.01369831,1.022275004,0.715872944,-0.990861792,0.374869839,0.820433201,1.059376527,0.282500099,1.146856937,0.3477021,0.92191759,0.730852854,0.658843339,0.270708078,0.539200689,0.457194007,0.136719901,0.945038112,0.401969338,1.631532468,1.675655062,1.512986489,0.498840843,0.867509133
104,PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24,D14043_at,0.814690678,0.505648654,0.441886695,0.738366591,1.253059238,-0.814134066,0.842681867,0.384766411,0.330036508,0.105682388,0.064885401,0.479311773,1.411743518,0.978227419,1.063791075,0.689900544,0.750109354,0.23804601,1.364422512,1.914599967,1.185245134,0.382024436,-0.191206438,0.975275177,0.859092523,0.237723497,0.218593086,0.603182125,0.208117855,-0.157048466,0.634760618,1.690143638,0.392740968,1.199688678,0.523399949,0.113556152,0.177786943,-0.275957599,-0.463103861,1.275482327,0.909447886,0.904015568,0.839296415,0.587426385,0.595846102,1.172942412,2.021911808,1.643699465,0.489411323,0.788823605,0.084711601,0.798646112,0.367169927,0.722540625,0.315988912,1.786945208,0.755639223,0.221407605,0.732040253,0.141221708,0.385013652,0.727834174,0.822143388,1.261716736,-0.012648303,1.165358432,1.161869265,0.800774715,1.472075863,0.146781668,0.655197247,0.569552475
105,KIAA0101 gene,D14657_at,0.568635744,0.862934844,1.487966991,0.882416103,1.124307769,1.092147954,0.032660846,-0.489933629,1.628703555,1.844196291,1.593992214,0.84159726,1.558054365,1.265199109,1.143942948,-0.286345746,0.555711952,1.364893322,0.490901015,-0.236182826,2.053838152,0.818873519,1.097279818,1.162809853,0.698583104,0.202464775,0.186363776,1.748479335,1.503646047,0.732143574,0.770414463,-1.404189209,0.131473252,0.379760982,1.159925471,0.919394945,1.247402621,0.792140415,0.11511268,0.093040085,0.854254895,1.212888718,0.593463357,1.165445051,1.025754793,0.245365474,1.472336564,1.869351896,0.489411323,0.423254836,0.651272274,-0.572660108,-0.028332598,0.954719998,0.868708,1.181454345,1.212666435,-0.921442232,0.908293475,0.672191563,-0.47878139,-0.656097527,-0.073571395,-1.390408144,0.722291498,1.404264944,-0.677791336,0.674341298,-0.927040115,0.124624153,-1.21065485,0.440716126
106,KIAA0102 gene,D14658_at,0.87092482,-0.100765606,0.681633089,0.711681827,0.903382049,0.16236814,0.72418734,0.264093343,0.954117391,0.236866208,0.273569814,-0.01149327,1.093447181,0.489808047,0.949303384,0.963898615,0.63255364,0.280430825,1.147000376,1.227895023,1.525606692,-0.016896791,0.405868622,0.912522908,-0.199529291,0.645461167,0.674102815,0.012608231,-0.184513648,-0.437043544,0.539237391,-0.201296236,-0.338609858,-0.212960167,-0.075789219,0.035967278,-0.147157028,-0.844673927,0.131663234,0.757395286,0.870827747,0.338886039,0.974114567,1.015085055,0.718748514,0.527779744,1.151557203,1.237518759,0.6812597,-0.329049921,-0.250472451,-0.162555747,-0.527178402,0.769660433,0.445298934,0.858768408,0.336080252,-0.178338343,1.000654652,0.643734637,0.012657511,0.656659198,0.516815755,-0.059248664,-0.387667827,0.559067914,-0.270054539,0.783721882,0.88532095,0.785006391,-0.453155554,-0.302629698
107,KIAA0105 gene,D14661_at,-0.073040868,0.432643675,0.025455919,-0.204214383,0.091043223,-0.177181531,-0.482988697,-0.242672585,0.24249021,0.418026336,0.422107057,0.228369595,0.71674099,-0.65711435,-0.195378388,0.134017332,-0.768024557,-0.811810883,0.176383459,0.576643907,-0.272738451,0.567072479,0.135569551,0.147853337,-0.285206698,0.043838588,-0.029580427,0.145366486,0.306294435,0.452977639,-0.087510061,0.075927058,-0.124419755,-0.326856102,-0.084646526,0.066104247,0.57998495,-0.092631866,0.036668969,-0.302172591,0.043663413,0.909755907,-0.090286743,0.500690815,-0.803507478,0.045569148,-0.115500984,0.375539784,-0.305385474,0.204656259,-0.109080798,-0.990861792,0.399702833,-0.716543854,-0.718674804,-0.069510654,-1.058009908,-0.863780614,-0.443986928,-0.512860357,0.093793172,-0.538213134,-0.403040164,-0.263357503,-0.143072641,0.026958074,0.699600488,0.071288076,0.537502833,-0.203256684,0.773261078,1.11410527
108,KIAA0106 gene,D14662_at,0.034756778,0.842250471,0.122756876,0.47977912,0.574181786,0.375377194,0.416225348,0.566947018,0.702445561,0.692795849,0.386865062,0.848594205,1.04001545,0.361465934,0.436265657,0.499492811,-0.277454144,-0.209800013,0.511273227,0.986470762,1.432845794,-0.367267692,0.57802628,1.080810375,0.084784526,0.40075339,0.504329749,0.336215137,0.363759211,0.839308074,0.470597951,0.664393641,-0.054548098,0.354405745,0.667932701,0.107946791,0.134917575,0.051583619,0.074555322,0.796801773,0.836248558,0.189935366,0.312364771,0.287554548,0.485592091,0.286111744,0.373667086,0.944873429,0.420215568,0.362122739,0.185194785,0.651528368,-0.129445779,0.796276575,0.61567909,0.340983258,0.121893775,0.101401419,0.791409366,0.54111417,0.381974604,-0.207655611,0.151737393,0.143661657,0.535326788,0.585471223,0.445886809,1.151779881,0.917462534,0.755119947,-0.195303268,0.259243674
109,KIAA0107 gene,D14663_at,-0.070962386,0.411626482,0.506201272,-0.088840389,0.316209955,-0.431453588,0.20807659,0.167976334,0.570558674,-0.006817899,0.653394298,0.148148878,0.413017114,0.25687166,0.390594122,-0.048128613,0.407814272,0.189143107,0.013049456,0.678051079,1.478145291,0.585721401,0.104045649,0.397786621,-0.326012791,-0.235238066,0.425388907,0.034922085,0.998554089,0.471171875,0.351308994,-0.07427469,0.325760759,0.107966324,-0.49681008,0.146438959,0.768341239,0.455985409,0.402706508,-0.585369429,0.160357557,0.528670597,0.057272749,0.110971452,0.13050589,-0.561602988,0.083440636,0.59662866,0.510945279,0.356717757,0.250265912,-0.908240073,0.60385769,0.29580132,0.222224259,-0.718527147,0.178453399,0.184444869,0.243712042,-0.247177223,0.696101959,-0.298144188,0.107653181,-0.521347236,0.042426726,0.546489571,0.130797439,0.895893873,0.367549377,0.110509374,0.587315243,0.530262594
110,KIAA0022 gene,D14664_at,-1.414095164,-1.335163026,-1.423498758,-1.242083736,-1.147381008,-1.192833271,-1.33742052,-1.274559035,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-0.032210133,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.05370775,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-0.379836831,0.02807492,-0.085075382,-0.993545342,-1.218227915,-0.107046336,-0.897920872,0.028258938,-0.943011762,-1.299149559,-1.216155572,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-0.193061558,-1.140022516,-1.304079068,-0.356127886,-0.497324047,-0.041400043,-0.910052691,0.377041694,-1.04641734,-1.292206597,-0.243903277,-0.529161697,-1.098814617,0.290964562,-0.47878139,0.270708078,0.389987432,-1.293602048,-0.490648543,-1.018678067,-1.183311149,-0.454231721,-0.994287928,-1.041303633,-1.21065485,-1.29024248
111,AMT Glycine cleavage system protein T (aminomethyltransferase),D14686_at,-0.385271107,-0.393345907,-0.112419263,-0.222705447,-1.373415231,-0.269952138,0.313438466,0.541639997,-0.587270557,-0.660705817,-1.243743654,-1.01377406,-1.135985333,-0.512122739,-1.339686102,-0.598321583,-1.453663027,0.003440634,-0.446636642,0.330393711,-1.045769178,0.111359527,-0.388285631,-0.350850115,0.187706629,-1.24631406,0.309067566,-0.154566836,-1.063445157,-1.171480913,-0.030850384,0.180965285,-0.171197721,0.451821197,0.449754579,-0.218871527,-0.040506475,0.364035628,-0.074534775,0.206173626,-0.440189467,0.493004391,-0.659277248,-0.028002168,-0.967707722,-0.260393181,0.184971286,-0.099962184,0.141153678,-1.106329284,-0.131188327,-0.113933363,0.102078658,-0.227380071,-0.298799644,0.350096297,0.084447252,-1.224099054,-0.149878908,-1.110465113,0.696101959,0.010830959,-0.332104379,0.846106636,-0.204211843,-0.377219578,0.044674443,-0.085177436,-0.465531116,-0.593516991,-1.21065485,-0.451098936
112,NUCLEAR PORE COMPLEX PROTEIN NUP214,D14689_at,-0.267152287,0.066921471,0.45891372,0.658950315,0.151869602,-0.476689616,0.991203581,-1.039224916,-0.587270557,-1.185748659,-0.271749011,-0.15435609,0.696411312,-0.755681178,0.762738609,-0.325924147,0.590964199,0.224955108,-0.268691844,0.664101181,0.47065405,-0.415189686,-0.584810691,0.556504029,0.848513207,0.618211315,-0.680968898,-0.070179219,0.359770608,0.046670609,0.688096619,-0.127096344,-0.046204469,0.399001656,0.661131463,0.850426185,0.449249734,1.08762295,0.338055152,0.146930638,0.787269541,0.100038113,0.7961338,0.563028253,0.840486146,0.988251437,0.294706217,0.495931741,0.898025819,0.413145726,0.200924768,1.10574491,0.738744835,0.977201297,0.819314182,0.943332309,0.695412512,0.921113019,1.003516494,1.055853557,0.684215741,0.387672385,0.78708024,0.652430623,0.826906486,0.057776993,0.28923393,0.937164398,0.4374347,-0.105647834,-0.737667097,0.322764934
113,PHOSPHATIDYLSERINE SYNTHASE I,D14694_at,1.091642085,1.264373626,0.821638571,1.446514213,1.319726004,0.965282643,1.36321355,1.216587998,1.261482178,1.050743768,1.151406337,1.119122852,1.341971986,1.367384916,1.45647582,1.102798931,2.135221338,1.519032896,1.043143748,1.396716015,2.105861654,1.334148177,1.317815185,1.395732902,1.09403576,1.370388213,1.189200524,1.144466865,1.180256023,0.979127522,1.034671797,0.880633944,1.054220136,1.41395152,1.312812278,1.153178415,1.001822415,0.94615106,1.196938929,1.074198803,1.60964011,1.229080179,0.980653337,1.111798175,1.661097435,0.943506629,1.653447556,1.111815512,1.273364787,0.73591725,1.110989459,1.95580525,0.873735199,1.455012731,1.477893689,1.394120585,1.641191154,1.275176144,0.742203555,1.557279506,1.530604779,1.102862777,1.519617305,1.116557957,1.394551973,1.39102287,1.227257095,1.561685782,1.115444928,1.380907176,1.109219165,1.069257197
114,APOA2 Apolipoprotein A-II,D14695_at,-0.854685049,0.506709175,-0.414058744,-0.786489283,-1.337503294,-0.506680612,-1.103020724,-1.335413943,0.12904682,-0.164390482,1.160520907,-1.01377406,-0.282911075,-1.088824908,-0.907900471,-1.357386275,-1.510219388,0.960276214,-1.207606614,-0.424347712,0.915018489,-0.433240849,-0.866084084,-0.784730317,-0.099181412,-1.24631406,-1.216362346,-0.623799531,-0.2249194,-0.659727066,-0.435445094,-0.93430943,-0.50351576,-0.701127317,-1.214385383,0.294883415,-1.049180155,-0.180905466,-0.237413557,-0.566705847,-1.022455396,-0.172832402,-0.669971818,-0.952174071,0.287075527,-0.312714478,0.272924239,-0.426473788,0.142782316,-0.727115372,-0.76065695,-0.599837002,-0.194142904,-0.563511091,-0.750081396,-1.292206597,-0.386103849,-0.427163457,-1.098814617,-0.319418451,-0.588208161,0.038056689,0.345774937,-0.106889703,0.27318329,-0.785134322,-0.358049413,-1.362381334,-0.156485188,-1.041303633,-0.319125373,-0.275015398
115,"ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle",D14710_at,1.777175522,2.253303609,2.17115442,2.343367257,2.572112828,2.174423667,2.184263333,1.901630623,2.363304043,2.050057725,2.391843003,1.631298651,2.283134243,2.345039421,2.454997897,2.522542831,2.346102724,2.519624068,2.272164057,2.421984019,3.157781981,2.147593208,2.505865901,2.369061211,1.576342237,2.175916019,2.211825797,1.916303064,2.312303756,2.038580234,2.331595763,0.975942614,0.902660791,2.271883865,2.132011184,1.663829873,1.649227743,1.857202234,1.846142265,2.04026884,2.623473487,1.913272639,2.087677382,2.300028574,2.101600326,2.268552195,2.572538138,2.180188784,2.135946937,1.630451473,2.013258572,2.123022942,1.695480067,2.51115359,2.526891975,2.027034722,2.291966228,1.7194844,1.738677546,2.196001265,1.818113624,1.555319872,2.106225668,1.306759791,2.022713466,2.838584681,1.831132999,2.468899645,2.231953903,2.188902715,1.727572457,1.945657572
116,KIAA0110 gene,D14811_at,-1.335730729,0.190961211,-0.43048541,-0.684099424,-1.373415231,-0.286938356,-0.098904575,-0.399747253,-0.587270557,-1.185748659,0.253763097,-1.01377406,-1.318316435,-0.191530886,-0.505687222,-0.713263393,-0.204242623,0.356123698,-1.207606614,-0.203312368,-0.022885929,-0.509131177,-0.104554754,-0.422218767,-0.514485469,-0.202304812,0.607527682,-0.416184781,0.421616784,0.483082409,-0.142840902,-0.501983658,-0.128068726,0.320937108,0.658397433,-0.283932142,0.409204309,0.38758032,-0.435930041,-0.138603423,-0.065561059,-0.214662271,-0.412772163,-1.072448275,0.397223664,-1.120330201,-0.528969491,-0.18403387,0.269685273,0.193298674,0.062321648,-0.104527788,0.334528204,-0.929535263,-0.395707511,-0.23306249,0.152060931,-1.224099054,-1.098814617,-1.110465113,0.496176236,-0.643575025,-0.239944154,-0.027214967,-0.532440043,-0.155606475,0.008307883,0.05848552,-0.019031889,-0.334437534,0.12892372,0.085161587
117,KIAA0026 gene,D14812_at,1.644765272,1.714760352,1.432603461,1.418227862,1.746324367,1.228324371,1.437947362,1.397366649,1.524446662,1.944045887,1.642504661,2.037707322,2.181072058,1.165250782,1.560618639,1.819701784,1.724874813,1.605202727,1.863513858,1.908308061,2.073476646,1.702168718,1.49223185,1.504174134,1.617433782,1.339683923,1.488299837,1.778636605,1.293506797,1.658331954,1.491680955,1.379244073,1.537261788,1.588506446,1.261584171,1.520379572,1.425876718,0.951268946,1.669143473,1.190417637,1.827902283,1.666828593,1.292378186,1.530388235,1.837009664,1.860297853,2.226439858,2.199022115,1.21219378,1.439114686,1.989284824,0.860212456,1.918101786,1.783353613,1.319810636,1.324468887,1.650510153,1.159777491,1.253970919,1.655415098,1.745570771,1.267157882,1.490256599,1.75405608,1.471112733,2.208150373,1.69061059,1.765961505,1.62028646,1.317368291,1.481322597,1.666369576
118,GB DEF = Tax helper protein 1,D14827_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-0.960393701,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-0.61593647,-1.01377406,-1.318316435,-0.898804279,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.012669201,-0.488498969,-0.281074021,-0.362256229,-1.272406126,-0.769352446,-0.159067901,-1.434727011,-0.900618807,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-1.145432169,-0.46293405,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-0.97179958,-1.304079068,-0.377782209,-1.227021204,-0.562023509,-1.443618533,-1.3272715,-0.077465919,-1.292206597,-1.058009908,0.85560135,-0.149878908,0.191350496,0.150669019,-1.31109581,-1.005051707,-0.369297276,-1.143157921,-1.018678067,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-0.766731266,-1.29024248
119,FGF9 Fibroblast growth factor 9 (glia-activating factor),D14838_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,0.089457436,-1.256496535,-1.029156737,-1.510219388,-1.179975696,-1.207606614,-1.534413371,0.981952718,-0.851001576,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-0.794257681,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-0.447256832,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
120,ADM Adrenomedullin,D14874_at,-0.969812032,-0.841452443,-1.176006315,-1.3627031,-1.373415231,-0.743863287,-1.33742052,-1.335413943,-0.825739817,-0.822637846,-0.869870397,0.057473057,-1.318316435,-1.042329935,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.336024533,-1.045769178,-1.111595482,-0.680836438,-1.164113299,-0.129553642,-1.201547049,-0.723666709,-0.057873851,-0.444134286,-0.373490444,-0.642005351,-0.511626395,-0.047866657,-0.580951839,-0.326162447,0.328997761,-0.205930988,-0.655445212,-0.774913004,-0.658810382,-1.145432169,-0.024929255,-1.025047972,-1.072448275,-0.776599076,-0.188715554,-0.956810637,-1.431552747,-1.304079068,-0.613519769,-0.727984347,-0.990861792,-0.634860214,-1.3272715,-0.816119049,-1.292206597,-0.867683693,-0.370990315,-1.098814617,-1.110465113,-0.723153764,-0.912876528,-0.886121385,-0.603782778,-0.391736606,-1.018678067,-0.380493492,-0.894858816,-0.188050835,-0.599490241,-0.629605265,-1.194669066
121,Protein D123,D14878_at,0.279568078,0.429175746,0.374610437,0.283645151,1.080172141,0.201477372,0.102657039,0.003312472,-0.059644537,-0.219407668,0.348675323,-0.5312895,0.342415392,0.161534035,0.298097828,0.292871577,0.145714307,0.147182277,0.069029352,0.67497196,-0.766177505,-0.313617002,-0.235912011,0.577705867,-0.021118603,0.094157416,0.642039393,0.072682462,0.265168372,0.27962369,0.49112073,-0.118762014,-0.102848815,0.250037493,0.078628311,-0.52879843,0.033331781,-0.296239787,-0.435930041,-0.07313164,0.704733836,0.083799657,-0.364908693,-0.022136809,-0.04685245,-0.28821127,0.646053372,0.585719447,0.146030426,0.16845408,0.356592346,-0.389991962,0.009053198,0.731035652,0.635783279,0.051006787,-0.131222932,-0.318053553,-0.052436118,0.093738957,0.200444471,-0.15607139,0.332393174,0.173112939,0.730774185,0.455415808,0.281932452,0.545204317,0.435333073,-0.087971442,0.017390439,0.33059907
122,"Small GTP-binding protein, S10",D14889_at,0.306008156,0.231104707,0.431712491,0.165546945,-0.25019206,-0.084632612,-0.110969052,0.106766314,-0.027220279,0.205799208,-0.049352832,0.458635546,-0.291104309,-0.037034476,-0.717402251,-0.095533271,-0.24924312,-0.056573221,-0.071896104,-0.262161619,-0.629838959,0.304341461,-0.098438595,-0.394805764,-0.169721934,0.041586951,0.261157419,0.200463621,-0.005309392,-0.010421925,0.297748691,0.10378092,0.352150493,0.301457303,0.035113057,0.162404496,0.148933047,0.008825897,0.321564568,0.013576004,-1.047484919,-0.301505824,-0.184935237,-0.324003992,-0.114605988,-0.207065192,0.156057938,-0.234766316,0.310847722,0.416950311,0.356592346,-0.021339301,0.314811552,0.461772143,0.022536712,0.340983258,0.24017544,0.490565434,0.027539085,-0.679807844,0.39557019,-0.027514747,0.109111058,0.381743729,-0.187725235,-0.122015118,0.377542905,-0.439650951,-0.069956141,-0.343554639,0.108113579,0.101335163
123,Transcription factor AREB6,D15050_at,0.234707114,1.022280836,0.39192472,0.028006931,0.859697723,0.043559314,1.191459981,0.58094218,0.31536001,0.30842761,0.644818806,0.988511151,0.897764009,-0.3200402,0.504284291,1.001545097,-0.109885946,0.130353298,1.889984529,0.963103112,1.420254089,0.966303742,-0.184510849,-0.110314547,0.704260215,0.753272567,0.736222164,1.772580105,0.129565187,0.364608939,0.037345231,0.197079337,0.820484139,0.450537623,0.542121534,0.228246122,0.646342335,0.501664654,0.189255843,-0.048690041,0.227908393,1.654058958,0.478569277,-0.65839439,0.663456265,1.800909553,0.268911073,0.163157902,0.81830684,0.488603124,0.417110521,-0.123442108,0.391144971,-0.162248445,0.534223659,0.316883282,-0.213446892,0.722017874,0.346123097,-0.213008142,0.417782615,0.289631606,0.6784462,0.277234658,1.077514296,0.67957709,1.062285897,1.129105651,1.360148052,1.316566667,1.165049213,0.911571151
